log_file,status,n_lines,policy,env,seed,shift_level,src_eval_return,trg_eval_return,eval_return,normalized_score,loss,error_keywords,tail
logs/DARA_halfcheetah-friction_shift0.1_seed1.log,error,4080,DARA,halfcheetah-friction,1,0.1,,,,,,Error:,"wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▂▇█▅▇▃▆▅▅▅▄▃▅▆▄▃▃▃▃▄▂▄▃▅▄▃▇▁▄▄▅▃▅▆▅▃▄▄▅▄
wandb:        test/target normalized score ▃▁▂▃▃▄▁▁▄▃▅█▂▄▄▃▅▆▆▅▇▅▄▅▅▄▄▆▄▆▅▃▇▄▃▇▃▄▆▇
wandb:                  test/target return ▃▁▂▃▃▄▁▁▄▃▅█▂▄▄▃▅▆▆▅▇▅▄▅▅▄▄▆▄▆▅▃▇▄▃▇▃▄▆▇
wandb: test/target smooth normalized score ▅▃▁▃▁▃▂▁▃▂▃▆▄▅▄▄▅▆▅▆▅▅▅▅▅▅▅▇▆▆▆▆▆▅▄█▆▆▅▇
wandb:           test/target smooth return ▅▃▁▃▁▃▂▁▃▂▃▆▄▅▄▄▅▆▅▆▅▅▅▅▅▅▅▇▆▆▆▆▆▅▄█▆▆▅▇
wandb: 
wandb: Run summary:
wandb:                  test/source return 2971.29362
wandb:        test/target normalized score 34.84826
wandb:                  test/target return 14347.97909
wandb: test/target smooth normalized score 34.57162
wandb:           test/target smooth return 14231.85634
wandb: 
wandb: Synced halfcheetah-friction0.1mediummedium: https://wandb.ai/jjineeq/mobody/runs/b3mvg50e
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260504_024104-b3mvg50e/logs"
logs/DARA_halfcheetah-friction_shift0.5_seed1.log,error,4078,DARA,halfcheetah-friction,1,0.5,,,,,,Error:,"wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▄▅▇▆▆▅▆▆▅▇▇▆▇█▇█▇▇██▇▇███▆████▇█▇█▇████
wandb:        test/target normalized score ▁▅▄▆▆▄▅▆▆▄▆▆▅▅▅▆▇▅▇▆▇▆▆██▇██▇▇▇█▇███████
wandb:                  test/target return ▁▅▄▆▆▄▅▆▆▄▆▆▅▅▅▆▇▅▇▆▇▆▆██▇██▇▇▇█▇███████
wandb: test/target smooth normalized score ▁▅▅▆▆▅▇▆▆▅▆▆▆▆▅▆▆▅▇▆▇▇▇█▇▇██▇███████████
wandb:           test/target smooth return ▁▅▅▆▆▅▇▆▆▅▆▆▆▆▅▆▆▅▇▆▇▇▇█▇▇██▇███████████
wandb: 
wandb: Run summary:
wandb:                  test/source return 5032.36073
wandb:        test/target normalized score 65.38268
wandb:                  test/target return 4713.25963
wandb: test/target smooth normalized score 65.96903
wandb:           test/target smooth return 4758.04124
wandb: 
wandb: Synced halfcheetah-friction0.5mediummedium: https://wandb.ai/jjineeq/mobody/runs/f5rinwxg
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260504_213930-f5rinwxg/logs"
logs/DARA_halfcheetah-friction_shift2.0_seed1.log,error,4077,DARA,halfcheetah-friction,1,2.0,,,,,,Error:,"wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▅▇▇▇▇▇▇▇▆▇█▇▇▇▇████████████████████████
wandb:        test/target normalized score ▁▅▆▇▇▇▇▇▇▅▇▇▇█▇▇█▇▇▇███▇▇▇█▇█▇█████▇▇██▇
wandb:                  test/target return ▁▅▆▇▇▇▇▇▇▅▇▇▇█▇▇█▇▇▇███▇▇▇█▇█▇█████▇▇██▇
wandb: test/target smooth normalized score ▁▅▆▆▆▇▇▇▇▆▇▇▇▇▇▇█▇▇██▇██████████████████
wandb:           test/target smooth return ▁▅▆▆▆▇▇▇▇▆▇▇▇▇▇▇█▇▇██▇██████████████████
wandb: 
wandb: Run summary:
wandb:                  test/source return 5300.18345
wandb:        test/target normalized score 48.30377
wandb:                  test/target return 5292.21483
wandb: test/target smooth normalized score 47.54067
wandb:           test/target smooth return 5204.18265
wandb: 
wandb: Synced halfcheetah-friction2.0mediummedium: https://wandb.ai/jjineeq/mobody/runs/ys8enp71
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260507_154030-ys8enp71/logs"
logs/DARA_halfcheetah-friction_shift5.0_seed1.log,error,4080,DARA,halfcheetah-friction,1,5.0,,,,,,Error:,"wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▇▇▆█▇▇████████▇█▇██████████████████████
wandb:        test/target normalized score ▁▅█▇▆▇█▆██▆▇▆▇▅▇▆▆▆▇▆▆▆▅▄▆▅▄▅▅▆▆▄▃▆▆▄▅▅▅
wandb:                  test/target return ▁▅█▇▆▇█▆██▆▇▆▇▅▇▆▆▆▇▆▆▆▅▄▆▅▄▅▅▆▆▄▃▆▆▄▅▅▅
wandb: test/target smooth normalized score ▁▅██▇█▇███▇▇▇▇▇█▇▇▆▇▆▆▆▆▆▆▆▅▅▅▅▆▅▄▆▆▅▅▅▆
wandb:           test/target smooth return ▁▅██▇█▇███▇▇▇▇▇█▇▇▆▇▆▆▆▆▆▆▆▅▅▅▅▆▅▄▆▆▅▅▅▆
wandb: 
wandb: Run summary:
wandb:                  test/source return 5154.38187
wandb:        test/target normalized score 36.16464
wandb:                  test/target return 3509.6967
wandb: test/target smooth normalized score 41.92825
wandb:           test/target smooth return 4113.69506
wandb: 
wandb: Synced halfcheetah-friction5.0mediummedium: https://wandb.ai/jjineeq/mobody/runs/0gnfxmk1
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260508_093840-0gnfxmk1/logs"
logs/DARA_hopper-friction_shift0.1_seed1.log,error,4076,DARA,hopper-friction,1,0.1,,,,,,Error:,"wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▇▇▁▆▁▇▇▆▅█▆▅▇█▆▇▅▆▇▆▇▇▆▆▇▇▇▇█▇▆▆▇▇▇▇▆▆▇
wandb:        test/target normalized score ▁▄▅▁▄▃▅▄▅▄▇▆▆▄▅▅▅▅█▆▄▅▅▅▅▆▆▅▄▅▅▄▅▆▅▅▅▅▅▅
wandb:                  test/target return ▁▄▅▁▄▃▅▄▅▄▇▆▆▄▅▅▅▅█▆▄▅▅▅▅▆▆▅▄▅▅▄▅▆▅▅▅▅▅▅
wandb: test/target smooth normalized score ▁▇▆▆▃▅█▇▅▆▇▇▇▆▇▆▇▇█▆▇▇█▆▆██▇▆▇▇▇▇█▇▇▆▇▆▇
wandb:           test/target smooth return ▁▇▆▆▃▅█▇▅▆▇▇▇▆▇▆▇▇█▆▇▇█▆▆██▇▆▇▇▇▇█▇▇▆▇▆▇
wandb: 
wandb: Run summary:
wandb:                  test/source return 1528.61582
wandb:        test/target normalized score 24.28494
wandb:                  test/target return 765.50733
wandb: test/target smooth normalized score 24.90916
wandb:           test/target smooth return 785.86095
wandb: 
wandb: Synced hopper-friction0.1mediummedium: https://wandb.ai/jjineeq/mobody/runs/douf88w8
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260503_204913-douf88w8/logs"
logs/DARA_hopper-friction_shift0.5_seed1.log,error,4080,DARA,hopper-friction,1,0.5,,,,,,Error:,"wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▆▇▃▅▄█▅▅▄▆▆▇▆▅▄▅▅▅▆▅▆▆▅▅▅▅▆▅▆▅▅▅▅▅▅▆▅▆▇
wandb:        test/target normalized score ▁▇▇▅▄▅▇▇▇▅▆▇█▆▆▆▆▆▅██▆▆▅▇▇▆▇█▇▆▅▅▆▆▆▅▆▅▆
wandb:                  test/target return ▁▇▇▅▄▅▇▇▇▅▆▇█▆▆▆▆▆▅██▆▆▅▇▇▆▇█▇▆▅▅▆▆▆▅▆▅▆
wandb: test/target smooth normalized score ▁▇███▇▆▇▇▆▇▇▇▇▇▇▇▇▆▇█▇▇▆▇▇▇▇▇▇▆▇▆▆▆▆▆▆▆▆
wandb:           test/target smooth return ▁▇███▇▆▇▇▆▇▇▇▇▇▇▇▇▆▇█▇▇▆▇▇▇▇▇▇▆▇▆▆▆▆▆▆▆▆
wandb: 
wandb: Run summary:
wandb:                  test/source return 1683.93375
wandb:        test/target normalized score 19.31047
wandb:                  test/target return 603.30826
wandb: test/target smooth normalized score 20.44851
wandb:           test/target smooth return 640.41562
wandb: 
wandb: Synced hopper-friction0.5mediummedium: https://wandb.ai/jjineeq/mobody/runs/qf497am5
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260504_160950-qf497am5/logs"
logs/DARA_hopper-friction_shift2.0_seed1.log,error,4077,DARA,hopper-friction,1,2.0,,,,,,Error:,"wandb: - 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: \ 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: | 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: / 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: - 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: \ 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁█▇▄▅▄▄▆▄▄▄▄▄▆▄▄▅▄▆▄▅▆▇▇▅▅▆▆▆▅▅▅▅▅▅▅▅▅▅▅
wandb:        test/target normalized score ▆▇▁█████████████████████████████████████
wandb:                  test/target return ▆▇▁█████████████████████████████████████
wandb: test/target smooth normalized score ▄▇▁█████████████████████████████████████
wandb:           test/target smooth return ▄▇▁█████████████████████████████████████
wandb: 
wandb: Run summary:
wandb:                  test/source return 1512.13619
wandb:        test/target normalized score 10.16245
wandb:                  test/target return 305.0246
wandb: test/target smooth normalized score 10.16665
wandb:           test/target smooth return 305.1613
wandb: 
wandb: Synced hopper-friction2.0mediummedium: https://wandb.ai/jjineeq/mobody/runs/x5u1dhna
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260507_100652-x5u1dhna/logs"
logs/DARA_hopper-friction_shift5.0_seed1.log,error,4077,DARA,hopper-friction,1,5.0,,,,,,Error:,"wandb: - 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: \ 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: | 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: / 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: - 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: \ 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▅█▄▇▅▄▄▃▄▅▃▄▃▅▄▆▆▄▅▅▅▆▄▆▆▆▇▇▆▇▆▆▇▆▆▆▅▆▆
wandb:        test/target normalized score ▁▇▆▇██▇█████▇▇▇▇█▇█▇▇▇█████▇▇█▇█▇▇▇▇█▇▇▇
wandb:                  test/target return ▁▇▆▇██▇█████▇▇▇▇█▇█▇▇▇█████▇▇█▇█▇▇▇▇█▇▇▇
wandb: test/target smooth normalized score ▁▂▇▇████████████████████████████████████
wandb:           test/target smooth return ▁▂▇▇████████████████████████████████████
wandb: 
wandb: Run summary:
wandb:                  test/source return 1636.41743
wandb:        test/target normalized score 7.9653
wandb:                  test/target return 233.38338
wandb: test/target smooth normalized score 7.9357
wandb:           test/target smooth return 232.41831
wandb: 
wandb: Synced hopper-friction5.0mediummedium: https://wandb.ai/jjineeq/mobody/runs/9v5k5lpj
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260508_042311-9v5k5lpj/logs"
logs/DARA_walker2d-friction_shift0.1_seed1.log,error,4077,DARA,walker2d-friction,1,0.1,,,,,,Error:,"wandb: / 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: - 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: \ 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: | 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: / 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb: - 0.196 MB of 0.196 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▄▅▃▆▆▄▅▅▄▆▅▆▆▄█▅▇▆▇▇▇▆▆▇▇▇▆▇▇▆▇▇▇▇▇██▇█
wandb:        test/target normalized score ▁▅▇▇▄▅▄▆▇▅▅▅▅█▅▆▅▇▅▅▅█▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅
wandb:                  test/target return ▁▅▇▇▄▅▄▆▇▅▅▅▅█▅▆▅▇▅▅▅█▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅
wandb: test/target smooth normalized score ▆▂▆█▄▄▁▃▄▂▂▃▅▅▃▆▅▄▃▃▃▅▃▃▃▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂
wandb:           test/target smooth return ▆▂▆█▄▄▁▃▄▂▂▃▅▅▃▆▅▄▃▃▃▅▃▃▃▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂
wandb: 
wandb: Run summary:
wandb:                  test/source return 3552.02398
wandb:        test/target normalized score 5.62006
wandb:                  test/target return 198.35731
wandb: test/target smooth normalized score 5.6223
wandb:           test/target smooth return 198.43217
wandb: 
wandb: Synced walker2d-friction0.1mediummedium: https://wandb.ai/jjineeq/mobody/runs/bhsxo1oe
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260503_141920-bhsxo1oe/logs"
logs/DARA_walker2d-friction_shift0.5_seed1.log,error,4079,DARA,walker2d-friction,1,0.5,,,,,,Error:,"wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: / 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: - 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: \ 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb: | 0.195 MB of 0.195 MB uploaded (0.000 MB deduped)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:                  test/source return ▁▇▇▆▆▆▆▇▆▇▇▇▅▇▄█▅▅▃▆█▃▆▆███▇▇███▆▇▇█▇▇█▇
wandb:        test/target normalized score ▁▆▇▆▅▇▅▅▅▆█▆▅▆▆▆▇▅▆▅▇▆▅▇▆▇▇▆▇▆▆▅▆▆▇▅▇▇▇▆
wandb:                  test/target return ▁▆▇▆▅▇▅▅▅▆█▆▅▆▆▆▇▅▆▅▇▆▅▇▆▇▇▆▇▆▆▅▆▆▇▅▇▇▇▆
wandb: test/target smooth normalized score ▁▆▇▆▅▇▆▆▆▇▇▇▇▇▇▇███▇█▇▇▇▇▇▇▇█▇▇▇▇▇▇▇▇██▇
wandb:           test/target smooth return ▁▆▇▆▅▇▆▆▆▇▇▇▇▇▇▇███▇█▇▇▇▇▇▇▇█▇▇▇▇▇▇▇▇██▇
wandb: 
wandb: Run summary:
wandb:                  test/source return 3590.88797
wandb:        test/target normalized score 64.46528
wandb:                  test/target return 2730.04281
wandb: test/target smooth normalized score 67.88825
wandb:           test/target smooth return 2874.4669
wandb: 
wandb: Synced walker2d-friction0.5mediummedium: https://wandb.ai/jjineeq/mobody/runs/08rwv00s
wandb: Synced 6 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260504_091045-08rwv00s/logs"
