tb_dir,event_path,policy,env,shift_level,run_name,src_return_last,src_return_mean,trg_return_last,trg_return_mean,norm_score_last,norm_score_mean
runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb,runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb/events.out.tfevents.1777862457.1e6066ef84d0,DARA,halfcheetah-friction,0.1,r1,2971.29,2716.86,14347.98,14231.86,34.85,34.57
runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb,runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb/events.out.tfevents.1777856991.1e6066ef84d0,IQL,halfcheetah-friction,0.1,r1,4949.34,4881.17,5064.45,5395.77,12.73,13.52
runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb/events.out.tfevents.1777870053.1e6066ef84d0,MOBODY,halfcheetah-friction,0.1,r1,4869.21,4867.22,3494.68,3308.11,8.99,8.55
runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777930763.1e6066ef84d0,DARA,halfcheetah-friction,0.5,r1,5032.36,5041.06,4713.26,4758.04,65.38,65.97
runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777925444.1e6066ef84d0,IQL,halfcheetah-friction,0.5,r1,5092.75,5125.94,4966.82,4856.1,68.7,67.25
runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777938373.1e6066ef84d0,MOBODY,halfcheetah-friction,0.5,r1,4296.46,4391.98,3788.69,4121.85,53.28,57.64
runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778168423.1e6066ef84d0,DARA,halfcheetah-friction,2.0,r1,5300.18,5307.74,5292.21,5204.18,48.3,47.54
runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778163044.1e6066ef84d0,IQL,halfcheetah-friction,2.0,r1,5259.01,5283.17,5334.85,5278.25,48.67,48.18
runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778176001.1e6066ef84d0,MOBODY,halfcheetah-friction,2.0,r1,4932.42,4866.1,4350.66,4597.14,40.14,42.28
runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/DARA/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778233112.1e6066ef84d0,DARA,halfcheetah-friction,5.0,r1,5154.38,5136.91,3509.7,4113.7,36.16,41.93
runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/IQL/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778227617.1e6066ef84d0,IQL,halfcheetah-friction,5.0,r1,5178.03,5191.32,4491.71,3782.43,45.54,38.77
runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/halfcheetah-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778240873.1e6066ef84d0,MOBODY,halfcheetah-friction,5.0,r1,4846.86,4925.59,3558.55,4316.2,36.63,43.86
runs_friction_shift_sweep_seed1/DARA/hopper-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb,runs_friction_shift_sweep_seed1/DARA/hopper-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb/events.out.tfevents.1777841347.1e6066ef84d0,DARA,hopper-friction,0.1,r1,1528.62,1624.97,765.51,785.86,24.28,24.91
